Gene1,Gene2,Score
FOXO1,SNAPC3,146.0
FOXO1,HDAC2,145.0
FOXO1,NFE2L2,133.0
FOXO1,MIS18BP1,129.0
FOXO1,KLF6,123.0
FOXO1,IKZF1,123.0
FOXO1,NFATC2,108.0
FOXO1,ZBTB10,105.0
FOXO1,PRDM4,105.0
FOXO1,REXO4,102.0
FOXO1,MYC,477.0
GATA2,XRCC6,3212.0
GATA2,NFE2,2303.0
GATA2,BTG2,1368.0
GATA2,HDAC7,1217.0
GATA2,SPI1,1632.0
GATA2,GATA1,1618.0
GATA2,ZDHHC6,1549.0
GATA2,SRSF1,1518.0
GATA2,HIST1H1C,1494.0
GATA2,AHCTF1,1397.0
GATA2,TRPS1,1245.0
GATA2,EPOR,1465.0
GATA2,EYA1,1301.0
GATA2,RNF19A,1245.0
GATA2,NR4A1,1178.0
GATA2,NR2C1,938.0
GATA2,JUN,1103.0
GATA2,SLA2,1325.0
GATA2,NUPR1,1080.0
GATA2,ZZZ3,911.0
GATA2,RUNX1T1,1417.0
GATA2,DCP1A,783.0
GATA2,MCM7,1074.0
GATA2,GFI1B,713.0
GATA2,XAB2,754.0
GATA2,KDM6A,723.0
GATA2,H1F0,907.0
GATA2,TOX4,754.0
GATA2,GTF3C3,751.0
GATA2,NFE2L2,671.0
GATA2,NFATC2,825.0
GATA2,GTF2H1,599.0
GATA2,GTF2F1,858.0
GATA2,RPA2,1193.0
GATA2,MYNN,757.0
GATA2,EBF1,1069.0
GATA2,KLF1,1206.0
GATA2,GFI1,777.0
GATA2,ZEB2,573.0
GATA2,XPC,843.0
GATA2,AFF4,523.0
GATA2,PGR,1428.0
GATA2,MCM6,652.0
GATA2,WDR5,599.0
GATA2,BUB3,789.0
GATA2,RAD51,502.0
GATA2,NFAT5,482.0
GATA2,IRF1,481.0
GATA2,EYA2,814.0
GATA2,SOX6,1002.0
GATA2,PHB2,587.0
GATA2,MIS18BP1,590.0
GATA2,IKZF2,582.0
GATA2,MED16,576.0
GATA2,NFXL1,436.0
GATA2,HCLS1,1126.0
GATA2,RPA1,392.0
GATA2,ABL1,322.0
GATA2,CENPK,450.0
GATA2,TSC22D3,413.0
GATA2,DDX20,438.0
GATA2,FEM1B,276.0
GATA2,PPARGC1A,959.0
GATA2,HNRNPAB,327.0
GATA2,CBFB,443.0
GATA2,POLR1B,456.0
GATA2,BTAF1,524.0
GATA2,SMARCA2,279.0
GATA2,POLR3F,294.0
GATA2,MCM4,463.0
GATA2,BLZF1,341.0
GATA2,REL,315.0
GATA2,PRDM4,556.0
GATA2,E2F4,269.0
GATA2,MAPK1,354.0
GATA2,STAT3,450.0
GATA2,PLAG1,244.0
GATA2,ESR1,332.0
GATA2,POLR2B,261.0
GATA2,KLF6,300.0
GATA2,IFI204,677.0
GATA2,ZFP275,265.0
GATA2,ZBTB43,322.0
GATA2,TRIB3,326.0
GATA2,REXO4,246.0
GATA2,SP4,233.0
GATA2,CREB5,626.0
GATA2,TCF12,274.0
GATA2,TOPORS,202.0
GATA2,MECOM,519.0
GATA2,TAF12,203.0
GATA2,XRCC5,265.0
GATA2,ZFP110,200.0
GATA2,TTF1,214.0
GATA2,HLF,435.0
GATA2,RELB,274.0
GATA2,ZSCAN21,187.0
GATA2,ELP2,196.0
GATA2,RNF4,210.0
GATA2,HDAC9,507.0
GATA2,RORA,477.0
GATA2,MCM2,166.0
GATA2,HDAC2,169.0
GATA2,HOXA9,435.0
GATA2,ORC2,154.0
GATA2,ZFP143,168.0
GATA2,RAD21,225.0
GATA2,NRF1,138.0
GATA2,MCM5,387.0
GATA2,MEIS1,386.0
GATA2,TLR4,381.0
GATA2,SNAPC3,156.0
GATA2,E2F6,188.0
GATA2,MYB,187.0
GATA2,AHR,130.0
GATA2,ELL2,132.0
GATA2,HDGF,136.0
GATA2,VHL,177.0
GATA2,SALL2,122.0
GATA2,MCM3,116.0
GATA2,PA2G4,160.0
GATA2,PHF10,185.0
GATA2,IRF6,163.0
GATA2,ZKSCAN6,158.0
GATA2,CNOT7,154.0
GATA2,APBB1,153.0
GATA2,NR3C2,295.0
GATA2,SNRPB,291.0
GATA2,E2F8,142.0
GATA2,NFIA,283.0
GATA2,HCFC1,141.0
GATA2,EGR1,141.0
GATA2,THRB,140.0
GATA2,KLF3,130.0
GATA2,HDAC11,257.0
GATA2,SATB1,416.0
GATA2,ZBTB10,251.0
GATA2,ZKSCAN17,124.0
GATA2,MAPK9,123.0
GATA2,MYC,239.0
GATA2,ZDHHC13,118.0
GATA2,JARID2,236.0
GATA2,ZFP36,231.0
GATA2,ABTB1,231.0
GATA2,IKZF1,114.0
GATA2,PBX1,223.0
GATA2,ZBTB20,217.0
GATA2,NFKBIA,215.0
GATA2,YBX1,214.0
GATA2,ZFP30,104.0
GATA2,RUNX2,101.0
GATA2,TEAD3,190.0
GATA2,GTF2E1,186.0
GATA2,RUVBL2,184.0
GATA2,TAF1,182.0
GATA2,PML,170.0
GATA2,CTR9,165.0
GATA2,CITED4,162.0
GATA2,FOS,161.0
GATA2,PWP1,154.0
GATA2,HMGB2,153.0
GATA2,ID2,457.0
GATA2,FOXO1,142.0
GATA2,TSHZ3,141.0
GATA2,NOTCH1,140.0
GATA2,ERCC8,139.0
GATA2,ETS1,126.0
GATA2,MEF2C,125.0
GATA2,RARB,120.0
GATA2,ZFP467,114.0
GATA2,RAI14,114.0
GATA2,EPAS1,113.0
GFI1,HMGB2,967.0
GFI1,REL,978.0
GFI1,DCP1A,1255.0
GFI1,HIST1H1C,1048.0
GFI1,GFI1B,2167.0
GFI1,GTF2H1,905.0
GFI1,TCF19,710.0
GFI1,GTF3C3,1479.0
GFI1,NFAT5,847.0
GFI1,NFE2,751.0
GFI1,CENPK,699.0
GFI1,SRSF1,971.0
GFI1,MIS18BP1,609.0
GFI1,ELP2,723.0
GFI1,XPC,741.0
GFI1,HDAC2,633.0
GFI1,FEM1B,572.0
GFI1,SMARCA2,1105.0
GFI1,RPA1,549.0
GFI1,NRF1,572.0
GFI1,MCM7,608.0
GFI1,ZFP143,532.0
GFI1,ZSCAN21,540.0
GFI1,SPI1,678.0
GFI1,SNAPC3,594.0
GFI1,MYB,1186.0
GFI1,IRF1,827.0
GFI1,KLF6,955.0
GFI1,ZDHHC6,543.0
GFI1,REXO4,404.0
GFI1,TRIB3,1115.0
GFI1,MCM4,532.0
GFI1,XRCC6,598.0
GFI1,ZFP110,815.0
GFI1,TAF12,503.0
GFI1,TOX4,592.0
GFI1,DDX20,452.0
GFI1,PWP1,468.0
GFI1,CNOT7,551.0
GFI1,SNRPB,658.0
GFI1,AHCTF1,437.0
GFI1,PLAG1,465.0
GFI1,RAD21,431.0
GFI1,LMO4,1002.0
GFI1,MAPK1,784.0
GFI1,ZBTB43,528.0
GFI1,XRCC5,495.0
GFI1,WDR5,600.0
GFI1,ZDHHC13,495.0
GFI1,ORC2,512.0
GFI1,TOPORS,388.0
GFI1,ELL2,355.0
GFI1,SP4,498.0
GFI1,STAT3,459.0
GFI1,TTF1,420.0
GFI1,POLR3F,476.0
GFI1,MED16,707.0
GFI1,POLR2B,399.0
GFI1,MAPK9,576.0
GFI1,RNF19A,480.0
GFI1,RAD51,443.0
GFI1,ETS1,416.0
GFI1,MCM6,530.0
GFI1,NR2C1,392.0
GFI1,GTF2E1,321.0
GFI1,NFE2L2,367.0
GFI1,E2F6,353.0
GFI1,ZZZ3,357.0
GFI1,ZKSCAN6,415.0
GFI1,MYNN,387.0
GFI1,CTR9,364.0
GFI1,RNF4,389.0
GFI1,SMAD2,679.0
GFI1,FOXO1,324.0
GFI1,PA2G4,341.0
GFI1,PHB2,492.0
GFI1,BUB3,434.0
GFI1,MCM3,474.0
GFI1,VHL,458.0
GFI1,DEK,467.0
GFI1,HDGF,417.0
GFI1,ELP3,472.0
GFI1,YBX1,380.0
GFI1,RELB,406.0
GFI1,TTF2,357.0
GFI1,HNRNPAB,353.0
GFI1,TCF12,404.0
GFI1,PRDM4,502.0
GFI1,PHF10,373.0
GFI1,POLR1B,418.0
GFI1,ABL1,401.0
GFI1,CBFB,413.0
GFI1,SATB1,285.0
GFI1,KLF3,399.0
GFI1,KDM6A,314.0
GFI1,EYA1,626.0
GFI1,ZFP592,460.0
GFI1,THRB,367.0
GFI1,E2F8,375.0
GFI1,NFKBIA,324.0
GFI1,ABTB1,413.0
GFI1,ZFP30,360.0
GFI1,NFXL1,382.0
GFI1,MXD3,497.0
GFI1,ZKSCAN17,320.0
GFI1,AFF4,488.0
GFI1,NFATC2,406.0
GFI1,GTF2F1,323.0
GFI1,PRDM5,384.0
GFI1,JUN,298.0
GFI1,ERCC8,256.0
GFI1,H1F0,291.0
GFI1,BTAF1,360.0
GFI1,RPA2,255.0
GFI1,CITED4,407.0
GFI1,BLZF1,297.0
GFI1,ZBTB10,262.0
GFI1,RUVBL2,457.0
GFI1,MEIS1,618.0
GFI1,RORA,335.0
GFI1,ZEB2,373.0
GFI1,HLF,333.0
GFI1,HDAC11,419.0
GFI1,RAI14,358.0
GFI1,MCM5,275.0
GFI1,JARID2,251.0
GFI1,NFATC1,200.0
GFI1,IKZF1,528.0
GFI1,ZFP275,302.0
GFI1,EBF1,252.0
GFI1,CREB5,201.0
GFI1,BTG2,230.0
GFI1,XRCC3,299.0
GFI1,ELF4,373.0
GFI1,KLF1,293.0
GFI1,PBX1,193.0
GFI1,E2F4,351.0
GFI1,APBB1,215.0
GFI1,EGR1,200.0
GFI1,TRPS1,248.0
GFI1,MCM2,262.0
GFI1,RB1,358.0
GFI1,NFIA,192.0
GFI1,RUNX1T1,278.0
GFI1,AHR,258.0
GFI1,XAB2,235.0
GFI1,RUNX2,272.0
GFI1,ZFP467,223.0
GFI1,NOTCH1,247.0
GFI1,IRF8,187.0
GFI1,RARB,220.0
GFI1,MAPK12,181.0
GFI1,MEF2C,218.0
GFI1,FOS,143.0
GFI1,BMI1,157.0
GFI1,TAF1,184.0
GFI1,SALL2,194.0
GFI1,VDR,142.0
GFI1,GLIS2,222.0
GFI1,IRF6,237.0
GFI1,SOX6,116.0
GFI1,EPAS1,162.0
GFI1,MECOM,166.0
GFI1,NR4A1,163.0
GFI1,IRF5,181.0
GFI1,CBX7,287.0
GFI1,NR3C2,101.0
GFI1,TSC22D3,271.0
GFI1,HOXA9,152.0
GFI1,SLA2,235.0
GFI1,IFI204,233.0
GFI1,RORC,145.0
GFI1,MYCN,219.0
GFI1,HCFC1,217.0
GFI1,TEAD3,212.0
GFI1,ID2,122.0
GFI1,NUPR1,193.0
GFI1,MYC,501.0
GFI1,NDN,144.0
GFI1,GATA2,130.0
GFI1,SOX18,127.0
GFI1,SPO11,125.0
GFI1,ZFP36,118.0
GFI1,TLR4,110.0
GFI1,EPOR,106.0
GFI1B,HMGB2,1270.0
GFI1B,TCF19,699.0
GFI1B,SMARCA2,1213.0
GFI1B,SPI1,772.0
GFI1B,REL,501.0
GFI1B,HIST1H1C,361.0
GFI1B,NFAT5,427.0
GFI1B,EGR1,384.0
GFI1B,HNRNPAB,787.0
GFI1B,GTF2H1,314.0
GFI1B,JUN,689.0
GFI1B,GTF3C3,325.0
GFI1B,NFE2,338.0
GFI1B,DCP1A,275.0
GFI1B,MEIS1,416.0
GFI1B,EYA1,502.0
GFI1B,SRSF1,176.0
GFI1B,POLR1B,174.0
GFI1B,GFI1,405.0
GFI1B,WDR5,229.0
GFI1B,ZSCAN21,175.0
GFI1B,NFATC1,260.0
GFI1B,FEM1B,165.0
GFI1B,KDM6A,219.0
GFI1B,TOX4,167.0
GFI1B,MYB,356.0
GFI1B,MCM4,173.0
GFI1B,NRF1,263.0
GFI1B,IRF1,173.0
GFI1B,HDGF,217.0
GFI1B,FOXO1,171.0
GFI1B,MCM7,176.0
GFI1B,MIS18BP1,153.0
GFI1B,ZDHHC6,148.0
GFI1B,NR2C1,266.0
GFI1B,POLR3F,265.0
GFI1B,IKZF1,173.0
GFI1B,RNF19A,153.0
GFI1B,MYCN,244.0
GFI1B,RUVBL2,230.0
GFI1B,DDX20,117.0
GFI1B,XRCC5,224.0
GFI1B,RNF4,211.0
GFI1B,IRF8,207.0
GFI1B,IFI204,204.0
GFI1B,ZZZ3,108.0
GFI1B,TTF1,199.0
GFI1B,CENPK,196.0
GFI1B,EPOR,188.0
GFI1B,SATB1,174.0
GFI1B,TCF12,172.0
GFI1B,PLAG1,172.0
GFI1B,RAD21,159.0
GFI1B,RAD51,154.0
GFI1B,HDAC7,154.0
GFI1B,ELP3,148.0
GFI1B,TAF12,140.0
GFI1B,SP4,134.0
GFI1B,HDAC2,132.0
GFI1B,NFE2L2,130.0
GFI1B,FOS,129.0
GFI1B,ZKSCAN6,128.0
GFI1B,NUPR1,128.0
GFI1B,PHF10,121.0
GFI1B,SNAPC3,118.0
GFI1B,GTF2F1,118.0
GFI1B,CTR9,118.0
GFI1B,CREB5,118.0
GFI1B,BTAF1,114.0
GFI1B,ESR1,112.0
GFI1B,XRCC6,107.0
GFI1B,STAT3,104.0
GFI1B,GTF2E1,104.0
GFI1B,ZFP110,103.0
HCFC1,POLR1B,2182.0
HCFC1,SNAPC3,2045.0
HCFC1,DCP1A,2108.0
HCFC1,AHCTF1,1983.0
HCFC1,PA2G4,1948.0
HCFC1,BUB3,2079.0
HCFC1,XAB2,1936.0
HCFC1,RPA2,1918.0
HCFC1,ABL1,1884.0
HCFC1,NFXL1,1828.0
HCFC1,MCM3,1901.0
HCFC1,GTF3C3,2375.0
HCFC1,PHB2,1888.0
HCFC1,JARID2,1750.0
HCFC1,ZFP110,1817.0
HCFC1,RAD51,1807.0
HCFC1,DDX20,2181.0
HCFC1,POLR3F,2132.0
HCFC1,MYNN,1576.0
HCFC1,GTF2E1,1728.0
HCFC1,WDR5,2109.0
HCFC1,MIS18BP1,1835.0
HCFC1,RUVBL2,2110.0
HCFC1,GTF2F1,1810.0
HCFC1,XPC,2097.0
HCFC1,TOX4,1827.0
HCFC1,BLZF1,1792.0
HCFC1,ABTB1,2101.0
HCFC1,FEM1B,1727.0
HCFC1,ELP2,1973.0
HCFC1,SP4,2033.0
HCFC1,E2F4,1937.0
HCFC1,CENPK,1969.0
HCFC1,PWP1,1890.0
HCFC1,GTF2H1,1737.0
HCFC1,REXO4,1887.0
HCFC1,ELP3,1961.0
HCFC1,ERCC8,1821.0
HCFC1,ZBTB43,2044.0
HCFC1,XRCC5,1790.0
HCFC1,PRDM4,1680.0
HCFC1,RAD21,1794.0
HCFC1,ZKSCAN17,1789.0
HCFC1,HDGF,1662.0
HCFC1,CTR9,1854.0
HCFC1,TTF1,1677.0
HCFC1,ZDHHC6,1545.0
HCFC1,ORC2,1753.0
HCFC1,HNRNPAB,1482.0
HCFC1,SNRPB,1672.0
HCFC1,NFAT5,1285.0
HCFC1,ZFP143,1525.0
HCFC1,BTAF1,1411.0
HCFC1,MCM5,1413.0
HCFC1,ZZZ3,1341.0
HCFC1,POLR2B,1445.0
HCFC1,RNF4,1380.0
HCFC1,MCM4,1297.0
HCFC1,SRSF1,1160.0
HCFC1,YBX1,1321.0
HCFC1,CNOT7,1188.0
HCFC1,MED16,1197.0
HCFC1,ZSCAN21,1207.0
HCFC1,STAT3,1134.0
HCFC1,TOPORS,1129.0
HCFC1,NR2C1,1190.0
HCFC1,TAF1,1076.0
HCFC1,TAF12,1148.0
HCFC1,MCM7,1104.0
HCFC1,TCF12,1099.0
HCFC1,TCF19,872.0
HCFC1,PLAG1,925.0
HCFC1,HCLS1,936.0
HCFC1,RPA1,854.0
HCFC1,XRCC3,847.0
HCFC1,LMO4,893.0
HCFC1,HIST1H1C,711.0
HCFC1,MAPK1,636.0
HCFC1,ZDHHC13,724.0
HCFC1,KDM6A,929.0
HCFC1,MEIS1,1378.0
HCFC1,MAPK9,598.0
HCFC1,RNF19A,676.0
HCFC1,TTF2,647.0
HCFC1,ZKSCAN6,565.0
HCFC1,HDAC2,564.0
HCFC1,HMGB2,541.0
HCFC1,NRF1,561.0
HCFC1,DEK,569.0
HCFC1,RB1,535.0
HCFC1,MCM6,472.0
HCFC1,AFF4,505.0
HCFC1,VHL,472.0
HCFC1,XRCC6,591.0
HCFC1,FOS,401.0
HCFC1,SMARCA2,490.0
HCFC1,ZFP36,394.0
HCFC1,BTG2,368.0
HCFC1,MXD3,373.0
HCFC1,MCM2,418.0
HCFC1,NR3C2,762.0
HCFC1,MYC,378.0
HCFC1,KLF6,260.0
HCFC1,H1F0,473.0
HCFC1,RELB,317.0
HCFC1,NFE2L2,305.0
HCFC1,NFATC1,528.0
HCFC1,TRIB3,283.0
HCFC1,ZFP30,470.0
HCFC1,ELL2,265.0
HCFC1,EPOR,612.0
HCFC1,JUN,347.0
HCFC1,FOXO1,342.0
HCFC1,NFKBIA,259.0
HCFC1,SMAD2,241.0
HCFC1,HLF,395.0
HCFC1,ID2,337.0
HCFC1,SPI1,530.0
HCFC1,REL,234.0
HCFC1,CBFB,284.0
HCFC1,THRB,361.0
HCFC1,E2F6,360.0
HCFC1,ZFP467,288.0
HCFC1,HDAC7,310.0
HCFC1,TLR4,436.0
HCFC1,IRF1,152.0
HCFC1,E2F8,213.0
HCFC1,ZFP275,260.0
HCFC1,NOTCH1,225.0
HCFC1,EGR1,243.0
HCFC1,IRF5,250.0
HCFC1,NFATC2,257.0
HCFC1,AHR,202.0
HCFC1,ESR1,196.0
HCFC1,HDAC11,175.0
HCFC1,CITED4,294.0
HCFC1,GFI1B,161.0
HCFC1,NFE2,202.0
HCFC1,KLF1,273.0
HCFC1,RORA,263.0
HCFC1,TSC22D3,131.0
HCFC1,PHF10,125.0
HCFC1,ZFP592,145.0
HCFC1,KLF3,125.0
HCFC1,RUNX1T1,203.0
HCFC1,ZBTB10,191.0
HCFC1,ELF4,188.0
HCFC1,CBX7,182.0
HCFC1,GFI1,178.0
HCFC1,GATA1,167.0
HCFC1,MYB,162.0
HCFC1,DDX58,155.0
HCFC1,APBB1,136.0
HCFC1,NUPR1,135.0
HCFC1,EBF1,119.0
HCFC1,CREB5,115.0
HCFC1,ETS1,112.0
HCFC1,PML,107.0
HDAC2,DDX20,1687.0
HDAC2,MIS18BP1,1471.0
HDAC2,DCP1A,1358.0
HDAC2,MCM7,1058.0
HDAC2,POLR1B,1185.0
HDAC2,PA2G4,1396.0
HDAC2,XAB2,1454.0
HDAC2,CENPK,1330.0
HDAC2,NFAT5,983.0
HDAC2,TOX4,1275.0
HDAC2,PRDM4,1092.0
HDAC2,POLR3F,1402.0
HDAC2,XPC,1063.0
HDAC2,ABTB1,1065.0
HDAC2,XRCC6,1005.0
HDAC2,AHCTF1,977.0
HDAC2,PHB2,1052.0
HDAC2,RAD51,1088.0
HDAC2,MCM5,1070.0
HDAC2,RPA2,1108.0
HDAC2,STAT3,934.0
HDAC2,ZSCAN21,1071.0
HDAC2,SP4,1096.0
HDAC2,ELP2,908.0
HDAC2,RELB,1442.0
HDAC2,ZDHHC6,851.0
HDAC2,HDGF,987.0
HDAC2,REXO4,928.0
HDAC2,BLZF1,1124.0
HDAC2,SRSF1,865.0
HDAC2,NFXL1,1016.0
HDAC2,SMARCA2,1123.0
HDAC2,HMGB2,1048.0
HDAC2,GTF2H1,1048.0
HDAC2,ELP3,982.0
HDAC2,RAD21,1046.0
HDAC2,GTF2F1,1084.0
HDAC2,XRCC5,826.0
HDAC2,MCM3,891.0
HDAC2,RUVBL2,914.0
HDAC2,GTF3C3,800.0
HDAC2,MAPK9,997.0
HDAC2,CBFB,734.0
HDAC2,ZBTB43,850.0
HDAC2,TCF19,767.0
HDAC2,MCM4,760.0
HDAC2,CTR9,909.0
HDAC2,IRF1,711.0
HDAC2,RPA1,806.0
HDAC2,FEM1B,821.0
HDAC2,REL,744.0
HDAC2,BTAF1,1040.0
HDAC2,TOPORS,822.0
HDAC2,ORC2,698.0
HDAC2,ZZZ3,779.0
HDAC2,MAPK1,721.0
HDAC2,ABL1,674.0
HDAC2,RNF4,1026.0
HDAC2,TTF1,709.0
HDAC2,HIST1H1C,960.0
HDAC2,WDR5,824.0
HDAC2,PWP1,713.0
HDAC2,ZFP110,840.0
HDAC2,NFE2L2,709.0
HDAC2,MXD3,843.0
HDAC2,NFE2,1388.0
HDAC2,MCM6,670.0
HDAC2,POLR2B,680.0
HDAC2,ERCC8,664.0
HDAC2,GTF2E1,707.0
HDAC2,ETS1,807.0
HDAC2,RORA,741.0
HDAC2,MCM2,571.0
HDAC2,VHL,851.0
HDAC2,ZKSCAN6,651.0
HDAC2,KLF1,652.0
HDAC2,SNAPC3,659.0
HDAC2,E2F4,709.0
HDAC2,SMAD2,756.0
HDAC2,E2F8,692.0
HDAC2,MYNN,623.0
HDAC2,TAF1,720.0
HDAC2,E2F6,663.0
HDAC2,RB1,597.0
HDAC2,ZDHHC13,609.0
HDAC2,YBX1,496.0
HDAC2,RNF19A,762.0
HDAC2,ZBTB10,670.0
HDAC2,MED16,709.0
HDAC2,NFATC2,556.0
HDAC2,PBX1,1063.0
HDAC2,NR2C1,540.0
HDAC2,TTF2,556.0
HDAC2,XRCC3,501.0
HDAC2,NR4A1,567.0
HDAC2,SNRPB,494.0
HDAC2,HNRNPAB,492.0
HDAC2,CNOT7,511.0
HDAC2,BTG2,496.0
HDAC2,NFKBIA,442.0
HDAC2,ZFP275,698.0
HDAC2,FOS,515.0
HDAC2,AFF4,598.0
HDAC2,ZFP143,487.0
HDAC2,ELF4,903.0
HDAC2,BUB3,465.0
HDAC2,ZKSCAN17,619.0
HDAC2,TCF12,487.0
HDAC2,PLAG1,456.0
HDAC2,TRIB3,493.0
HDAC2,PHF10,564.0
HDAC2,TAF12,457.0
HDAC2,DEK,483.0
HDAC2,ZFP30,420.0
HDAC2,NRF1,594.0
HDAC2,EYA2,774.0
HDAC2,ID2,674.0
HDAC2,NOTCH1,828.0
HDAC2,HDAC7,781.0
HDAC2,RUNX2,1026.0
HDAC2,EPAS1,515.0
HDAC2,JUN,509.0
HDAC2,TLR4,1460.0
HDAC2,HCLS1,736.0
HDAC2,GFI1,625.0
HDAC2,ZEB2,568.0
HDAC2,EGR1,468.0
HDAC2,VDR,750.0
HDAC2,ELL2,433.0
HDAC2,KLF6,486.0
HDAC2,EYA1,486.0
HDAC2,KLF3,371.0
HDAC2,PRDM5,417.0
HDAC2,EPOR,425.0
HDAC2,RAI14,555.0
HDAC2,CREB5,677.0
HDAC2,APBB1,432.0
HDAC2,RORC,687.0
HDAC2,NUPR1,799.0
HDAC2,NFATC1,320.0
HDAC2,KDM6A,367.0
HDAC2,CBX7,733.0
HDAC2,FOXO1,364.0
HDAC2,GLIS2,542.0
HDAC2,GFI1B,912.0
HDAC2,MYC,254.0
HDAC2,MEIS1,377.0
HDAC2,LMO4,290.0
HDAC2,SLA2,505.0
HDAC2,TRPS1,258.0
HDAC2,MYCN,596.0
HDAC2,NR3C2,357.0
HDAC2,SALL2,367.0
HDAC2,JARID2,326.0
HDAC2,H1F0,467.0
HDAC2,IFI204,365.0
HDAC2,HDAC11,503.0
HDAC2,EBF1,387.0
HDAC2,ZFP467,478.0
HDAC2,RUNX1T1,458.0
HDAC2,ESR1,496.0
HDAC2,ZFP592,361.0
HDAC2,ZBTB20,508.0
HDAC2,DDX58,284.0
HDAC2,TEAD3,404.0
HDAC2,TEAD2,342.0
HDAC2,HCFC1,333.0
HDAC2,MYB,340.0
HDAC2,GATA2,390.0
HDAC2,MEF2C,1086.0
HDAC2,TSHZ3,278.0
HDAC2,IRF5,390.0
HDAC2,SATB1,342.0
HDAC2,AHR,298.0
HDAC2,HDAC9,664.0
HDAC2,SPI1,615.0
HDAC2,ZFP36,207.0
HDAC2,PML,190.0
HDAC2,ARID3B,775.0
HDAC2,IKZF1,327.0
HDAC2,MECOM,284.0
HDAC2,THRB,173.0
HDAC2,IRF8,196.0
HDAC2,NFIA,194.0
HDAC2,PPARGC1A,200.0
HDAC2,TSC22D3,184.0
HDAC2,MAPK12,159.0
HDAC2,RARB,237.0
HDAC2,TLE2,114.0
HDAC2,CITED4,144.0
HDAC2,BMI1,114.0
HDAC2,PRDM16,195.0
HDAC2,IKZF2,296.0
HDAC2,SOX6,258.0
HDAC2,SOX18,254.0
HDAC2,NDN,153.0
HDAC2,IRF6,126.0
IKZF1,DDX20,2865.0
IKZF1,PA2G4,1985.0
IKZF1,TCF19,1728.0
IKZF1,MIS18BP1,1350.0
IKZF1,NFAT5,1493.0
IKZF1,AHCTF1,1445.0
IKZF1,MCM3,1358.0
IKZF1,ZZZ3,1530.0
IKZF1,NFE2,1578.0
IKZF1,TOPORS,1402.0
IKZF1,ABTB1,975.0
IKZF1,HIST1H1C,1082.0
IKZF1,TLR4,1347.0
IKZF1,ZFP143,1036.0
IKZF1,TCF12,1190.0
IKZF1,ZDHHC6,1315.0
IKZF1,XRCC6,770.0
IKZF1,RB1,948.0
IKZF1,DCP1A,1156.0
IKZF1,RPA2,580.0
IKZF1,XPC,942.0
IKZF1,EYA1,1566.0
IKZF1,ZSCAN21,1197.0
IKZF1,JUN,974.0
IKZF1,ELP3,1134.0
IKZF1,XRCC5,961.0
IKZF1,SNRPB,1288.0
IKZF1,TOX4,952.0
IKZF1,GTF3C3,944.0
IKZF1,SLA2,735.0
IKZF1,ZBTB20,501.0
IKZF1,GTF2F1,798.0
IKZF1,RAD51,1046.0
IKZF1,MCM4,696.0
IKZF1,ZDHHC13,929.0
IKZF1,SP4,720.0
IKZF1,ABL1,749.0
IKZF1,NFXL1,590.0
IKZF1,EYA2,488.0
IKZF1,KDM6A,705.0
IKZF1,IRF5,1000.0
IKZF1,DEK,725.0
IKZF1,GFI1,945.0
IKZF1,GFI1B,1138.0
IKZF1,BTAF1,623.0
IKZF1,ZFP110,1194.0
IKZF1,REL,920.0
IKZF1,SALL2,730.0
IKZF1,ZKSCAN6,701.0
IKZF1,ZKSCAN17,548.0
IKZF1,SNAPC3,416.0
IKZF1,FEM1B,551.0
IKZF1,MCM6,604.0
IKZF1,MAPK1,996.0
IKZF1,MYNN,605.0
IKZF1,TTF2,768.0
IKZF1,JARID2,724.0
IKZF1,NFE2L2,523.0
IKZF1,RNF19A,630.0
IKZF1,PHB2,754.0
IKZF1,SPI1,754.0
IKZF1,REXO4,643.0
IKZF1,H1F0,852.0
IKZF1,TTF1,824.0
IKZF1,MXD3,426.0
IKZF1,E2F8,568.0
IKZF1,KLF6,442.0
IKZF1,RELB,768.0
IKZF1,HCLS1,1003.0
IKZF1,RUVBL2,426.0
IKZF1,MYC,451.0
IKZF1,STAT3,629.0
IKZF1,PRDM4,494.0
IKZF1,ZBTB43,1051.0
IKZF1,SRSF1,641.0
IKZF1,MCM2,806.0
IKZF1,SMARCA2,391.0
IKZF1,CENPK,699.0
IKZF1,MYCN,454.0
IKZF1,BUB3,624.0
IKZF1,POLR2B,518.0
IKZF1,GTF2E1,770.0
IKZF1,HMGB2,715.0
IKZF1,CNOT7,479.0
IKZF1,TRPS1,875.0
IKZF1,CBFB,607.0
IKZF1,IRF1,563.0
IKZF1,MCM7,423.0
IKZF1,NFKBIA,460.0
IKZF1,KLF3,430.0
IKZF1,ID2,632.0
IKZF1,ETS1,494.0
IKZF1,HDAC7,479.0
IKZF1,MEF2C,765.0
IKZF1,EBF1,458.0
IKZF1,POLR3F,556.0
IKZF1,GTF2H1,585.0
IKZF1,HDAC2,458.0
IKZF1,FOXO1,391.0
IKZF1,MCM5,518.0
IKZF1,RNF4,528.0
IKZF1,APBB1,980.0
IKZF1,E2F4,722.0
IKZF1,BTG2,500.0
IKZF1,MYB,282.0
IKZF1,ORC2,624.0
IKZF1,ERCC8,640.0
IKZF1,PHF10,584.0
IKZF1,ZEB2,350.0
IKZF1,WDR5,583.0
IKZF1,HNRNPAB,455.0
IKZF1,XAB2,487.0
IKZF1,NFATC2,407.0
